Location,Trap #,Trip,Date,Start,End
Deans,D5E,7,8/17/2022,05:16:19.553,05:17:19.554
Deans,D1A,8,8/17/2022,,
Deans,D1B,8,8/17/2022,08:54:49.399,08:55:49.177
Deans,D1C,8,8/17/2022,,
Deans,D1D,8,8/17/2022,,
Deans,D1E,8,8/17/2022,08:57:45.079,08:58:57.901
Deans,D2A,8,8/17/2022,09:01:25.375,09:03:57.288
Deans,D2B,8,8/17/2022,,
Deans,D2C,8,8/17/2022,09:06:25.180,09:10:26.712
Deans,D2D,8,8/17/2022,09:14:47.380,09:15:37.277
Deans,D2E,8,8/17/2022,,
Deans,D3A,8,8/17/2022,,
Deans,D3B,8,8/17/2022,09:21:04.982,09:22:16.788
Deans,D3C,8,8/17/2022,,
Deans,D3D,8,8/17/2022,,
Deans,D3E,8,8/17/2022,09:24:11.677,09:25:14.482
Deans,D4A,8,8/17/2022,09:26:57.385,09:29:38.381
Deans,D4B,8,8/17/2022,,
Deans,D4C,8,8/17/2022,09:32:48.182,09:35:05.081
Deans,D4D,8,8/17/2022,09:38:06.984,09:39:28.879
Deans,D4E,8,8/17/2022,,
Deans,D5A,8,8/17/2022,,
Deans,D5B,8,8/17/2022,09:41:30.877,09:42:33.788
Deans,D5C,8,8/17/2022,,
Deans,D5D,8,8/17/2022,,
Deans,D5E,8,8/17/2022,09:44:22.681,09:45:30.684
,,,,,
