Site,Trip,Location,Date,Start,End
Pick,6,P1B,2022-06-21,,
Pick,6,P1C,2022-06-21,5:26:57.379,5:28:37.307
Pick,6,P1D,2022-06-21,,
Pick,6,P1E,2022-06-21,5:32:09.876,5:33:49.677
Pick,6,P2A,2022-06-21,5:37:15.380,5:40:41.080
Pick,6,P2B,2022-06-21,,
Pick,6,P2C,2022-06-21,5:34:02.876,5:46:02.679
Pick,6,P2D,2022-06-21,,
Pick,6,P2E,2022-06-21,5:48:54.575,5:50:13.517
Pick,5,P1A,2022-06-21,0:50:30.162,0:51:53.965
Pick,5,P1B,2022-06-21,,
Pick,5,P1C,2022-06-21,0:57:05.560,0:58:31.369
Pick,5,P1D,2022-06-21,,
Pick,5,P1E,2022-06-21,1:02:00.863,1:02:31.665
Pick,5,P2A,2022-06-21,1:11:33.168,1:13:47.064
Pick,5,P2B,2022-06-21,,
Pick,5,P2C,2022-06-21,1:17:17.970,1:19:18.762
Pick,5,P2D,2022-06-21,,
Pick,5,P2E,2022-06-21,1:23:27.565,1:25:09.274
Pick,5,P3A,2022-06-21,1:28:27.264,1:29:50.166
Pick,5,P3B,2022-06-21,,
Pick,5,P3C,2022-06-21,1:32:38.970,1:34:00.869
Pick,5,P3D,2022-06-21,,
Pick,5,P3E,2022-06-21,1:37:04.673,1:38:56.670
Pick,5,P4A,2022-06-21,1:44:41.560,1:47:03.471
Pick,5,P4B,2022-06-21,,
Pick,5,P4C,2022-06-21,1:54:41.166,1:57:21.167
Pick,5,P4D,2022-06-21,,
Pick,5,P4E,2022-06-21,2:02:27.171,2:04:02.079
Pick,5,P5A,2022-06-21,2:17:47.674,2:19:35.672
Pick,5,P5B,2022-06-21,,
Pick,5,P5C,2022-06-21,2:12:32.771,2:13:34.708
Pick,5,P5D,2022-06-21,,
Pick,5,P5E,2022-06-21,2:07:01.972,2:08:22.872
Pick,6,P3A,2022-06-21,6:24:09.997,6:26:09.681
Pick,6,P3B,2022-06-21,,
Pick,6,P3C,2022-06-21,6:35:12.461,6:36:43.179
Pick,6,P3D,2022-06-21,,
Pick,6,P3E,2022-06-21,6:41:07.862,6:42:46.667
Pick,6,P4A,2022-06-21,6:46:29.266,6:48:47.065
Pick,6,P4B,2022-06-21,,
Pick,6,P4C,2022-06-21,6:52:18.969,6:53:45.865
Pick,6,P4D,2022-06-21,,
Pick,6,P4E,2022-06-21,6:58:45.568,7:00:22.464
Pick,6,P5A,2022-06-21,7:15:04.571,7:18:30.495
Pick,6,P5B,2022-06-21,,
Pick,6,P5C,2022-06-21,7:10:57.866,7:12:12.866
Pick,6,P5D,2022-06-21,,
Pick,6,P5E,2022-06-21,7:05:15.067,7:07:10.870
,,,,,
